epoch	load1	load5	load15	benchmarks
1787303864	10.31	11.27	10.16	0
1787303869	10.29	11.25	10.16	0
1787303874	9.70	11.11	10.12	0
1787303879	9.17	10.97	10.08	0
1787303884	8.67	10.84	10.04	0
1787303889	8.22	10.71	10.00	0
1787303894	8.92	10.81	10.04	0
1787303899	8.53	10.70	10.01	3
1787303904	8.40	10.64	9.99	3
1787303909	8.85	10.70	10.02	3
1787303914	8.54	10.60	9.99	3
1787303919	8.18	10.49	9.96	0
1787303924	8.33	10.48	9.96	2
1787303929	8.06	10.39	9.93	2
1787303934	7.89	10.32	9.91	2
1787303939	7.66	10.23	9.88	2
1787303944	7.61	10.18	9.87	2
1787303949	7.88	10.19	9.87	2
1787303954	7.65	10.10	9.85	2
1787303959	7.92	10.12	9.85	2
1787303964	8.41	10.18	9.87	3
1787303969	9.90	10.46	9.97	3
1787303974	10.62	10.60	10.02	3
1787303979	12.66	11.03	10.16	3
1787303984	14.13	11.36	10.27	0
1787303989	15.40	11.67	10.37	0
1787303994	16.73	12.01	10.49	0
1787303999	15.63	11.86	10.45	0
1787304004	14.70	11.73	10.41	0
1787304009	14.96	11.83	10.46	0
1787304014	15.45	11.98	10.51	1
1787304019	18.77	12.73	10.76	0
1787304024	21.43	13.38	10.98	0
1787304029	23.40	13.92	11.17	0
1787304034	25.18	14.62	11.43	0
1787304039	23.49	14.44	11.39	0
1787304045	21.93	14.27	11.35	0
1787304050	21.05	14.21	11.35	0
1787304055	20.65	14.24	11.37	0
1787304060	19.87	14.19	11.37	0
1787304065	18.84	14.07	11.35	0
1787304070	18.37	14.05	11.35	0
1787304075	17.46	13.93	11.33	0
1787304080	16.95	13.89	11.33	0
1787304085	15.91	13.72	11.29	0
1787304090	15.60	13.69	11.29	0
1787304095	15.39	13.68	11.30	0
1787304100	15.12	13.65	11.31	0
1787304105	14.47	13.54	11.28	0
1787304110	13.71	13.40	11.25	0
1787304115	13.09	13.28	11.22	0
1787304120	12.36	13.12	11.18	0
1787304125	12.01	13.04	11.16	2
1787304130	11.45	12.90	11.13	2
1787304135	11.49	12.89	11.14	2
1787304140	11.05	12.77	11.11	2
1787304145	11.05	12.74	11.11	2
1787304150	11.13	12.73	11.11	2
1787304155	11.28	12.73	11.12	2
1787304160	11.89	12.84	11.16	2
1787304165	12.06	12.86	11.18	3
1787304170	12.62	12.96	11.22	3
1787304175	12.57	12.94	11.23	3
1787304180	12.12	12.85	11.20	3
1787304185	11.55	12.72	11.17	0
1787304190	12.07	12.80	11.21	2
1787304195	11.50	12.67	11.17	2
1787304200	11.54	12.66	11.18	2
1787304205	11.02	12.53	11.15	2
1787304210	10.54	12.41	11.11	2
1787304215	10.57	12.39	11.11	2
1787304220	10.13	12.26	11.08	2
1787304225	9.88	12.18	11.06	2
1787304230	10.69	12.31	11.10	3
1787304235	10.87	12.32	11.12	3
1787304240	10.40	12.20	11.08	3
1787304245	10.61	12.21	11.09	3
1787304250	10.96	12.26	11.11	0
1787304255	10.48	12.14	11.08	0
1787304260	10.37	12.08	11.07	0
1787304265	10.10	12.00	11.05	0
1787304270	9.61	11.87	11.01	0
1787304275	9.72	11.85	11.01	0
1787304280	9.82	11.84	11.01	0
1787304285	10.48	11.94	11.05	0
1787304290	9.96	11.81	11.01	0
1787304295	9.48	11.68	10.97	0
1787304300	9.52	11.65	10.96	0
1787304305	9.00	11.51	10.92	0
1787304310	9.08	11.48	10.92	0
1787304315	8.59	11.34	10.87	0
1787304320	8.95	11.37	10.88	0
1787304325	10.71	11.69	10.99	0
1787304330	10.82	11.70	11.00	0
1787304335	11.15	11.75	11.02	0
1787304340	10.58	11.62	10.98	0
1787304345	11.01	11.70	11.01	0
1787304351	11.25	11.74	11.03	0
1787304356	11.55	11.79	11.05	0
1787304361	11.75	11.83	11.06	0
1787304366	11.77	11.83	11.07	0
1787304371	12.35	11.95	11.11	0
1787304376	11.84	11.85	11.08	0
1787304381	11.53	11.79	11.07	0
1787304386	11.41	11.76	11.06	0
1787304391	10.74	11.61	11.02	0
1787304396	10.20	11.48	10.98	0
1787304401	9.70	11.36	10.94	0
1787304406	10.44	11.49	10.99	0
1787304411	10.41	11.46	10.98	0
1787304416	10.78	11.52	11.00	0
1787304421	11.68	11.70	11.06	0
1787304426	11.14	11.58	11.03	0
1787304431	10.65	11.47	11.00	0
1787304436	11.24	11.58	11.03	0
1787304441	11.38	11.61	11.05	0
1787304446	11.51	11.63	11.06	0
1787304451	11.63	11.65	11.07	0
1787304456	11.58	11.64	11.07	0
1787304461	11.69	11.66	11.08	0
1787304466	11.00	11.52	11.03	0
1787304471	10.68	11.45	11.01	0
1787304476	11.02	11.50	11.03	0
1787304481	10.62	11.41	11.01	0
1787304486	10.17	11.31	10.97	0
1787304491	9.68	11.18	10.94	0
1787304496	9.14	11.05	10.89	0
1787304501	10.81	11.36	11.00	0
1787304506	10.83	11.36	11.00	0
1787304511	11.32	11.45	11.03	0
1787304516	12.02	11.59	11.08	0
1787304521	11.37	11.47	11.04	0
1787304526	11.34	11.46	11.04	0
1787304531	10.84	11.35	11.01	0
1787304536	10.69	11.31	10.99	0
1787304541	10.23	11.21	10.96	0
1787304546	10.13	11.17	10.95	0
1787304551	9.64	11.05	10.91	0
1787304556	9.83	11.07	10.92	0
1787304561	9.20	10.92	10.87	0
1787304566	8.63	10.77	10.82	0
1787304571	8.66	10.74	10.81	0
1787304576	9.25	10.83	10.84	0
1787304581	8.74	10.69	10.80	0
1787304586	8.20	10.55	10.75	0
1787304591	8.27	10.52	10.74	0
1787304596	8.57	10.55	10.75	0
1787304601	8.04	10.41	10.70	0
1787304606	7.56	10.27	10.65	0
1787304611	7.03	10.11	10.60	0
1787304616	6.71	10.00	10.56	0
1787304621	6.81	9.96	10.55	0
1787304626	6.75	9.90	10.52	0
1787304631	6.45	9.78	10.48	0
1787304636	6.65	9.77	10.47	0
1787304641	7.00	9.79	10.48	0
1787304646	6.92	9.73	10.45	0
1787304651	7.17	9.73	10.45	0
1787304656	6.99	9.65	10.42	0
1787304661	6.59	9.52	10.37	0
1787304666	6.46	9.45	10.35	0
1787304671	6.11	9.33	10.30	0
1787304676	6.66	9.39	10.32	0
1787304682	6.69	9.35	10.30	0
1787304687	6.31	9.22	10.25	0
1787304692	6.61	9.24	10.25	0
1787304697	6.80	9.23	10.24	0
1787304702	7.14	9.26	10.25	0
1787304707	7.44	9.29	10.25	0
1787304712	7.17	9.20	10.22	0
1787304717	7.16	9.17	10.20	0
1787304722	7.94	9.30	10.24	0
1787304727	7.55	9.19	10.20	0
1787304732	7.58	9.17	10.19	0
1787304737	7.22	9.07	10.15	0
1787304742	7.36	9.07	10.14	0
1787304747	6.93	8.95	10.10	0
1787304752	6.94	8.92	10.08	0
1787304757	6.78	8.85	10.05	0
1787304762	6.40	8.74	10.01	0
1787304767	6.29	8.68	9.98	0
1787304772	6.02	8.58	9.94	0
1787304777	6.26	8.59	9.94	0
1787304782	6.48	8.60	9.93	0
1787304787	6.12	8.49	9.89	0
1787304792	5.79	8.38	9.85	0
1787304797	6.77	8.54	9.89	0
1787304802	7.59	8.68	9.93	0
1787304807	7.22	8.58	9.89	0
1787304812	7.36	8.59	9.89	0
1787304817	6.93	8.48	9.85	0
1787304822	6.78	8.42	9.82	0
1787304827	6.80	8.40	9.80	0
1787304832	6.97	8.41	9.80	0
1787304837	7.30	8.45	9.81	0
1787304842	7.19	8.41	9.79	0
1787304847	6.94	8.34	9.75	0
1787304852	7.02	8.33	9.75	0
1787304857	6.62	8.23	9.70	0
1787304862	6.25	8.12	9.66	0
1787304867	5.91	8.02	9.62	0
1787304872	5.60	7.92	9.58	0
1787304877	5.79	7.92	9.57	0
1787304882	5.64	7.86	9.54	0
1787304887	5.99	7.89	9.54	0
1787304892	5.75	7.81	9.51	0
1787304897	6.57	7.95	9.54	0
1787304902	6.29	7.87	9.51	0
1787304907	6.83	7.95	9.53	0
1787304912	6.44	7.85	9.49	0
1787304917	6.64	7.87	9.48	0
1787304922	7.07	7.94	9.50	0
1787304927	6.67	7.84	9.46	0
1787304932	6.29	7.74	9.42	0
1787304937	6.19	7.70	9.39	0
1787304942	6.17	7.67	9.37	0
1787304947	5.84	7.58	9.33	0
1787304952	6.33	7.65	9.35	0
1787304957	6.63	7.69	9.35	0
1787304962	7.54	7.86	9.40	0
1787304967	7.90	7.93	9.41	0
1787304972	7.42	7.83	9.37	0
1787304977	7.71	7.88	9.38	0
1787304982	8.13	7.97	9.40	0
1787304987	7.64	7.87	9.36	0
1787304992	7.67	7.87	9.35	0
1787304997	7.22	7.77	9.31	0
1787305002	7.12	7.74	9.30	0
1787305008	7.27	7.77	9.29	0
1787305013	7.33	7.77	9.29	0
1787305018	6.98	7.69	9.25	0
1787305023	6.58	7.59	9.21	0
1787305028	6.22	7.50	9.17	0
1787305033	6.60	7.56	9.18	0
1787305038	6.71	7.57	9.18	0
1787305043	7.37	7.69	9.21	0
1787305048	7.51	7.71	9.21	0
1787305053	7.63	7.73	9.21	0
1787305058	7.33	7.67	9.18	0
1787305063	7.47	7.69	9.18	0
1787305068	7.03	7.60	9.14	0
1787305073	7.43	7.67	9.15	0
1787305078	7.63	7.71	9.16	0
1787305083	7.34	7.65	9.13	0
1787305088	6.91	7.56	9.09	0
1787305093	6.60	7.48	9.06	0
1787305098	6.79	7.51	9.06	0
1787305103	6.97	7.53	9.06	0
1787305108	6.57	7.44	9.02	0
1787305113	6.61	7.43	9.01	0
1787305118	6.32	7.36	8.98	0
1787305123	7.25	7.53	9.03	0
1787305128	7.71	7.62	9.05	0
1787305133	7.82	7.65	9.05	0
1787305138	7.35	7.55	9.01	0
1787305143	8.12	7.71	9.05	0
1787305148	8.75	7.85	9.09	0
1787305153	8.29	7.77	9.06	0
1787305158	8.43	7.80	9.06	0
1787305163	8.56	7.84	9.07	0
1787305168	13.96	8.97	9.43	0
1787305173	14.28	9.12	9.47	0
1787305178	13.54	9.05	9.45	0
1787305183	12.69	8.95	9.41	0
1787305188	12.24	8.92	9.40	0
1787305193	11.50	8.82	9.37	0
1787305198	10.98	8.76	9.34	0
1787305203	10.34	8.66	9.31	0
1787305208	9.83	8.59	9.28	0
1787305213	9.28	8.49	9.25	0
1787305218	8.78	8.40	9.21	0
1787305223	8.64	8.38	9.20	0
1787305228	8.18	8.29	9.17	0
1787305233	8.33	8.32	9.17	0
1787305238	8.46	8.35	9.18	0
1787305243	8.03	8.26	9.14	0
1787305248	7.62	8.17	9.11	0
1787305253	7.25	8.08	9.08	0
1787305258	6.99	8.02	9.05	0
1787305263	6.67	7.93	9.02	0
1787305268	7.02	7.98	9.03	0
1787305273	7.26	8.02	9.03	0
1787305278	7.00	7.95	9.00	0
1787305283	6.92	7.92	8.99	0
1787305288	6.60	7.84	8.96	0
1787305293	6.79	7.85	8.96	0
1787305298	7.05	7.89	8.96	0
1787305303	7.37	7.94	8.97	0
1787305308	7.58	7.98	8.98	0
1787305313	7.77	8.01	8.99	0
1787305318	8.03	8.06	9.00	0
1787305323	8.19	8.09	9.00	0
1787305329	7.85	8.02	8.97	0
1787305334	7.62	7.97	8.95	0
1787305339	7.25	7.89	8.92	0
1787305344	6.99	7.83	8.89	0
1787305349	7.23	7.86	8.90	0
1787305354	6.90	7.78	8.87	0
1787305359	6.66	7.72	8.84	0
1787305364	6.37	7.64	8.81	0
1787305369	6.74	7.70	8.82	0
1787305374	6.44	7.62	8.79	0
1787305379	6.17	7.54	8.76	0
1787305384	6.23	7.53	8.75	0
1787305389	5.97	7.46	8.72	0
1787305394	5.73	7.38	8.69	0
1787305399	5.60	7.33	8.66	0
1787305404	5.95	7.37	8.67	0
1787305409	5.71	7.30	8.64	0
1787305414	5.50	7.22	8.61	0
1787305419	5.21	7.14	8.57	0
1787305424	4.96	7.05	8.54	0
1787305429	4.80	6.99	8.51	0
1787305434	4.58	6.90	8.47	0
1787305439	4.93	6.94	8.48	0
1787305444	5.42	7.01	8.49	0
1787305449	5.14	6.92	8.45	0
1787305454	5.69	7.01	8.47	0
1787305459	6.04	7.06	8.48	0
1787305464	6.27	7.09	8.48	0
1787305469	6.49	7.12	8.49	0
1787305474	6.29	7.07	8.46	0
1787305479	5.95	6.98	8.43	0
1787305484	5.79	6.93	8.40	0
1787305489	6.05	6.97	8.41	0
1787305494	5.81	6.90	8.38	0
1787305499	6.06	6.94	8.38	0
1787305504	6.22	6.96	8.38	0
1787305509	6.52	7.01	8.39	0
1787305514	6.56	7.01	8.38	0
1787305519	6.19	6.92	8.35	0
1787305524	5.86	6.84	8.31	0
1787305529	6.11	6.88	8.32	0
1787305534	6.02	6.85	8.30	0
1787305539	5.70	6.77	8.26	0
1787305544	5.48	6.70	8.23	0
1787305549	5.36	6.66	8.21	0
1787305554	5.09	6.58	8.18	0
1787305559	5.01	6.54	8.16	0
1787305564	4.76	6.46	8.12	0
1787305569	5.18	6.52	8.13	0
1787305574	5.73	6.61	8.15	0
1787305579	6.23	6.70	8.17	0
1787305584	5.89	6.62	8.14	0
1787305589	5.74	6.58	8.12	0
1787305594	5.44	6.50	8.09	0
1787305599	5.89	6.58	8.10	0
1787305604	6.14	6.62	8.11	0
